Id,SalePrice
1461,121973.83884653545
1462,160596.00031574757
1463,189565.41822578304
1464,197949.68891964143
1465,197073.23690286803
1466,169502.97884190505
1467,176384.1484820637
1468,160534.5163439847
1469,194280.20087198637
1470,122280.67831785086
1471,193894.90494553166
1472,97493.34177909527
1473,97898.19739936714
1474,140585.55137924766
1475,108762.63521927486
1476,359048.6298924389
1477,250275.7280589987
1478,282981.447104894
1479,277726.67735305976
1480,477760.11974547675
1481,328422.76528404496
1482,209158.1235225974
1483,184924.90379661435
1484,162438.16423653575
1485,183493.42826517846
1486,196793.6921179928
1487,333127.8687346827
1488,234503.34408395714
1489,196892.91197079446
1490,242350.48045812605
1491,197833.41100490463
1492,90655.22233003443
1493,194309.96502376688
1494,296401.8187717249
1495,286014.68136310857
1496,241707.9557553813
1497,186147.99141203985
1498,167633.3554564504
1499,165487.0537616386
1500,158748.4175089505
1501,174889.91895921045
1502,135950.18515450068
1503,293972.1639928464
1504,236946.78794025426
1505,226600.92040290445
1506,181781.50756766496
1507,259851.3753137729
1508,207428.06384982695
1509,156850.0782929311
1510,140735.10195704876
1511,148757.9855599838
1512,174170.0042382851
1513,149480.32633746587
1514,150382.1890844562
1515,191316.91107516628
1516,155252.47843523402
1517,172746.11276558673
1518,130822.92917451574
1519,216797.61277985133
1520,131281.33042215317
1521,131914.50354437312
1522,172302.4556280915
1523,112193.39008401292
1524,124787.49884838938
1525,124824.3544152822
1526,113693.87470480968
1527,102640.98057969498
1528,138006.83438267917
1529,147558.6723568353
1530,182553.23009636148
1531,109135.44582247848
1532,92954.90924396859
1533,151157.8301221162
1534,122492.73909462395
1535,152587.96649954835
1536,109742.69794990495
1537,61032.882684229655
1538,161219.8807703013
1539,196896.29442384592
1540,94504.9468966449
1541,141435.002495159
1542,140551.7756133181
1543,178560.83734129844
1544,85261.45957338481
1545,113914.18158391582
1546,129986.9044391477
1547,133286.9211540209
1548,133649.11479022252
1549,116052.51367957616
1550,128851.71435338506
1551,108156.59521187938
1552,133439.69348272347
1553,150707.53010581987
1554,118823.62354351589
1555,167818.1806108886
1556,87468.7534639893
1557,102947.07805348694
1558,94169.71212340785
1559,65984.58068416175
1560,128129.42990036827
1561,123261.41740696043
1562,131342.25948787914
1563,122076.1618147213
1564,163680.4738151997
1565,151614.21417012386
1566,254767.27994172255
1567,74125.99218708003
1568,245147.1204259679
1569,127823.46634447355
1570,141558.9267345622
1571,117283.39126300867
1572,144891.2612610308
1573,265925.142233206
1574,125347.57765344238
1575,238162.08778269004
1576,246342.50709284615
1577,176722.06585798602
1578,143161.4219096317
1579,149982.20026353124
1580,189819.20978826177
1581,159890.13624079362
1582,124825.37885914711
1583,292813.71356772183
1584,221535.44871947853
1585,138294.31260147225
1586,69143.12221718767
1587,102062.4006173782
1588,159619.33309516052
1589,94461.61840031904
1590,137929.97277064124
1591,95844.17885204434
1592,105223.56933979184
1593,118819.06993434358
1594,136323.85427204988
1595,103018.43559600109
1596,221260.36259873942
1597,196948.92566131288
1598,219641.4138450676
1599,169169.8918908079
1600,161088.02935046027
1601,74265.83188612912
1602,115843.60805739375
1603,76320.4533139794
1604,271788.41308132204
1605,240484.61872052
1606,169129.15452192942
1607,173031.53523682995
1608,208516.92342324764
1609,185581.11912052782
1610,148797.16438897772
1611,134812.44154308265
1612,177674.4402544382
1613,167326.60326261158
1614,123693.01801031231
1615,87945.57253895044
1616,77091.61078893315
1617,92067.54766736185
1618,124200.0104789
1619,146968.020667562
1620,160238.95589267483
1621,142212.52464577407
1622,138363.70554010203
1623,271666.1663430292
1624,226040.26111118688
1625,118897.4785651505
1626,163776.31757370426
1627,192889.13181340342
1628,288715.959367077
1629,174345.9138710842
1630,364267.7720859425
1631,223605.65944775773
1632,243863.94488673008
1633,162936.73415872006
1634,186103.71399902855
1635,174388.03420272595
1636,152992.2215708111
1637,195862.27907863795
1638,190784.47558856505
1639,179884.96907032342
1640,256779.77105020237
1641,178677.83268160358
1642,236894.7124167666
1643,226580.94469514207
1644,235317.53825207174
1645,210666.46976284424
1646,160861.067222406
1647,155619.81980558994
1648,125529.2196947726
1649,139568.03753443452
